Id.,Proyecto,Informador,Asignada a,Prioridad,Gravedad,Reproducibilidad,Versión del producto,Categoría,Fecha de envío,SO,Versión de SO,Plataforma,Visibilidad,Actualizada,Resumen,Estado,Resolución,Resuelta en versión
0036288,Equipamiento Clínico,qa.analyst,admin,alta,bloqueo,siempre,,General,2023-11-11,,,,público,2023-12-15,"Mód Ubicación - Registro de Ubicación - Permisos de usuario no implementados",resuelta,abierta,
0036631,Equipamiento Clínico,qa.analyst,,normal,ajuste,siempre,,General,2023-11-24,,,,público,2023-12-15,"Mód Ubicación - Listado Movimientos Equipos - No se notifica el resultado de los filtros incompatibles.",resuelta,abierta,
0036606,Equipamiento Clínico,qa.analyst,,normal,mayor,siempre,,General,2023-11-24,,,,público,2023-12-13,"Mod Usuario Alta - No persiste el email",nueva,abierta,
0036607,Equipamiento Clínico,qa.analyst,,normal,menor,siempre,,General,2023-11-24,,,,público,2023-12-13,"Mod Usuario Listar - No controla privilegios de usuario para listar",nueva,abierta,
0036608,Equipamiento Clínico,qa.analyst,,normal,menor,siempre,,General,2023-11-24,,,,público,2023-12-13,"Mod Usuario - Listado de Usuario - Al realizar un filtrado con caracteres no válidos no muestra mensaje",nueva,abierta,
0036609,Equipamiento Clínico,qa.analyst,,normal,menor,siempre,,General,2023-11-24,,,,público,2023-12-13,"Mod Usuario Listar - Al modificar datos propios no muestra confirmación",nueva,abierta,
0036610,Equipamiento Clínico,qa.analyst,,normal,menor,siempre,,General,2023-11-24,,,,público,2023-12-13,"Mod Usuario Modificar - Al cancelar debería no hacer nada",nueva,abierta,
0036612,Equipamiento Clínico,qa.analyst,,normal,mayor,siempre,,General,2023-11-24,,,,público,2023-12-13,"Mod Usuario Baja - No controla privilegios de usuario",nueva,abierta,
0036613,Equipamiento Clínico,qa.analyst,,normal,mayor,siempre,,General,2023-11-24,,,,público,2023-12-13,"Mod Baja de Usuario - No controla el ingreso de usuario eliminado",nueva,abierta,
0036617,Equipamiento Clínico,qa.analyst,,normal,mayor,no se ha intentado,,General,2023-11-24,,,,público,2023-12-13,"Mod Usuario Modificar - No controla permisos",nueva,abierta,
0036867,Equipamiento Clínico,qa.analyst,,normal,ajuste,siempre,,General,2023-11-27,,,,público,2023-12-13,"Mod Usuario Modificar - Usuario administrador no debería modificar otras contraseñas",nueva,abierta,
0036869,Equipamiento Clínico,qa.analyst,,normal,ajuste,siempre,,General,2023-11-27,,,,público,2023-12-13,"Mod Usuario Modificar - Usuario auxiliar administrativo no debería modificar otras contraseñas",nueva,abierta,
0036583,Equipamiento Clínico,qa.analyst,,normal,menor,siempre,,General,2023-11-24,,,,público,2023-11-25,"Mód. Perfil - Listar Perfil - Comprobar el listado incompatible",nueva,abierta,
0036586,Equipamiento Clínico,qa.analyst,,normal,menor,siempre,,General,2023-11-24,,,,público,2023-11-25,"Mód. Perfil - Baja Perfil - Comprobar que el sistema muestre mensaje de confirmación",resuelta,abierta,
0036584,Equipamiento Clínico,qa.analyst,,normal,menor,siempre,,General,2023-11-24,,,,público,2023-11-25,"Mód. Perfil - Modificar Perfil - No permitir modificar un perfil al presionar cancelar",resuelta,abierta,
0036728,Equipamiento Clínico,qa.analyst,,normal,menor,siempre,,General,2023-11-25,,,,público,2023-11-25,"Mod. Baja Perfil - Reactivar perfil - Comprobar que se pueda reactivar un perfil",nueva,abierta,
0036727,Equipamiento Clínico,qa.analyst,,baja,menor,siempre,,General,2023-11-25,,,,público,2023-11-25,"Mod. Listado Perfil - Listar por nombre - Comprobar que el sistema notifica que se está filtrando un nombre que no existe",nueva,abierta,
0036726,Equipamiento Clínico,qa.analyst,,normal,menor,siempre,,General,2023-11-25,,,,público,2023-11-25,"Mod. Registro Perfil - Alta perfil - Comprobar que un No usuario pueda dar de alta un perfil",nueva,abierta,
0036580,Equipamiento Clínico,qa.analyst,,normal,menor,siempre,,General,2023-11-24,,,,público,2023-11-25,"Mód. Perfil - Listar Perfil - Comprobar que el sistema pueda exportar el listado a un archivo Excel.",resuelta,abierta,
0036725,Equipamiento Clínico,qa.analyst,,normal,menor,siempre,,General,2023-11-25,,,,público,2023-11-25,"Mod. Registro Perfil - Cancelar Alta - Comprobar que se pueda cancelar un alta",nueva,abierta,
0036709,Equipamiento Clínico,qa.analyst,,normal,menor,siempre,,General,2023-11-25,,,,público,2023-11-25,"Mod. Intervención - Reporte por Tipo de Intervención - No se permite la descarga del reporte en formato xls",nueva,abierta,
0036707,Equipamiento Clínico,qa.analyst,,normal,mayor,siempre,,General,2023-11-25,,,,público,2023-11-25,"Mod. Tipo Intervención - Permisos de Usuarios no implementados",nueva,abierta,
