| Suite de Pruebas | Caso de Prueba | Prioridad | Build v2.1.0 | Equipo QA | Fecha | Notas | Duración de la ejecución (min) |
| Módulo Ubicaciones/Baja Ubicación | CP-351: Baja de Ubicación por un usuario tecnólogo | Alta | Pasado | Equipo QA | 2023-11-24 21:28:01 | 2 | |
| Módulo Ubicaciones/Baja Ubicación | CP-352: Baja de Ubicación por un usuario técnico | Alta | Pasado | Equipo QA | 2023-11-24 21:27:50 | 2 | |
| Módulo Ubicaciones/Movimiento Equipo | CP-295: Realizar movimiento del equipo | Alta | Pasado | Equipo QA | 2023-11-24 17:55:56 | 3 | |
| Módulo Ubicaciones/Movimiento Equipo | CP-296: Cancelar movimiento del equipo | Alta | Bloqueado | Equipo QA | 2023-11-24 17:56:37 | El sistema no tiene un botón Cancelar en la interfaz de Movimientos de equipos. | 1 |
| Módulo Ubicaciones/Movimiento Equipo | CP-297: Entradas inválidas para el registro de Movimiento de Equipo | Alta | Pasado | Equipo QA | 2023-11-24 21:46:20 | 3 | |
| Módulo Ubicaciones/Movimiento Equipo | CP-356: Realizar movimiento del equipo por parte de un administrador | Alta | Pasado | Equipo QA | 2023-11-24 21:42:36 | 2 | |
| Módulo Ubicaciones/Movimiento Equipo | CP-357: Realizar movimiento del equipo por parte de un auxiliar administrativo | Alta | Pasado | Equipo QA | 2023-11-24 21:42:19 | 2 | |
| Módulo Ubicaciones/Movimiento Equipo | CP-358: Realizar movimiento del equipo por parte de un ingeniero biomédico | Alta | Pasado | Equipo QA | 2023-11-24 21:42:09 | 2 | |
| Módulo Ubicaciones/Movimiento Equipo | CP-359: Realizar movimiento del equipo por parte de un tecnólogo | Alta | Pasado | Equipo QA | 2023-11-24 21:41:55 | 2 | |
| Módulo Ubicaciones/Movimiento Equipo | CP-360: Realizar movimiento del equipo por parte de un técnico | Alta | Pasado | Equipo QA | 2023-11-24 21:41:37 | 2 | |
| Módulo Equipos/Modificar Equipo | CP-320: Modificar un equipo desde el listado de equipo como administrador | Alta | Pasado | Equipo QA | 2023-11-24 16:53:11 | 2 | |
| Módulo Equipos/Modificar Equipo | CP-322: Modificar un equipo desde el listado de equipo como auxiliar administrador | Alta | Pasado | Equipo QA | 2023-11-24 16:53:22 | 2 | |
| Módulo Equipos/Modificar Equipo | CP-324: Modificar un equipo desde el listado de equipo como Ingeniero biomédico | Alta | Pasado | Equipo QA | 2023-11-24 16:53:28 | 2 | |
| Módulo Equipos/Modificar Equipo | CP-325: Modificar un equipo desde el listado de equipo como Tecnólogo | Alta | Pasado | Equipo QA | 2023-11-24 16:53:37 | 2 | |
| Módulo Equipos/Modificar Equipo | CP-327: Modificar un equipo desde el listado de equipo como Técnico | Alta | Pasado | Equipo QA | 2023-11-24 16:53:44 | 2 | |
| Módulo Equipos/Modificar Equipo | CP-329: Modificación de Equipos con datos inválidos | Alta | Pasado | Equipo QA | 2023-11-24 16:54:03 | 2 | |
| Módulo Ubicaciones/Listado Movimientos de Equipos | CP-321: Listar Movimiento de Equipo por Equipo | Alta | Pasado | Equipo QA | 2023-11-24 22:24:16 | 2 | |
| Módulo Ubicaciones/Listado Movimientos de Equipos | CP-323: Listar Movimiento de Equipo por Identificación de Equipo | Alta | Pasado | Equipo QA | 2023-11-24 22:24:43 | 2 | |
| Módulo Ubicaciones/Listado Movimientos de Equipos | CP-326: Listar Movimiento de Equipo por Institución | Alta | Pasado | Equipo QA | 2023-11-24 22:25:03 | 2 | |
| Módulo Ubicaciones/Listado Movimientos de Equipos | CP-328: Listar Movimiento de Equipo por Sector | Alta | Pasado | Equipo QA | 2023-11-24 22:25:18 | 2 | |
| Módulo Ubicaciones/Listado Movimientos de Equipos | CP-330: Listar Movimiento de Equipo por Usuario | Alta | Pasado | Equipo QA | 2023-11-24 22:25:29 | 2 | |
| Módulo Ubicaciones/Listado Movimientos de Equipos | CP-331: Listado por filtros incompatibles | Alta | Fallado | Equipo QA | 2023-11-24 22:26:05 | 2 | |
| Módulo Ubicaciones/Listado Movimientos de Equipos | CP-332: Combinar Filtros | Alta | Pasado | Equipo QA | 2023-11-24 22:27:23 | 2 | |
| Módulo Ubicaciones/Listado Movimientos de Equipos | CP-337: Listar por fechas | Alta | Fallado | Equipo QA | 2023-11-24 22:32:03 | El sistema no filtra los movimientos que corresponden a la fecha filtrada. | 2 |
| Módulo Ubicaciones/Listado Movimientos de Equipos | CP-384: Filtros incompatibles | Baja | Fallado | Equipo QA | 2023-11-24 22:16:35 | El sistema no notifica al usuario que no se encontraron datos coincidentes. | 2 |
| Módulo Tipo de Intervención/Registro Tipo de Intervención | CP-338: Ingresar Tipo de intervención con datos válidos | Alta | Pasado | Equipo QA | 2023-11-24 21:57:00 | 2 | |
| Módulo Tipo de Intervención/Registro Tipo de Intervención | CP-339: Ingreso de entrada inválida en campo Tipo de Intervención | Alta | Pasado | Equipo QA | 2023-11-24 22:01:08 | 2 | |
| Módulo Tipo de Intervención/Registro Tipo de Intervención | CP-343: Ingresar Tipo de intervención que ya existe | Alta | Pasado | Equipo QA | 2023-11-24 22:03:43 | 2 | |
| Módulo Tipo de Intervención/Listado Tipo de intervención | CP-344: Visualización del listado de Tipo de Intervención | Alta | Pasado | Equipo QA | 2023-11-24 22:05:42 | 2 | |
| Módulo Tipo de Intervención/Listado Tipo de intervención | CP-345: Visualización del listado de Tipo de intervención filtrado por tipo | Alta | Pasado | Equipo QA | 2023-11-24 22:05:53 | 2 | |
| Módulo Tipo de Intervención/Listado Tipo de intervención | CP-346: Visualización del listado de Tipo de intervención filtrado por estado | Alta | Pasado | Equipo QA | 2023-11-24 22:06:05 | 2 | |
| Módulo Tipo de Intervención/Listado Tipo de intervención | CP-355: Acceso a la página Listado Tipo de Intervención por un usuario no autorizado | Alta | Fallado | Equipo QA | 2023-11-25 01:00:34 | 2 | |
| Módulo Tipo de Intervención/Listado Tipo de intervención | CP-385: Descargar listado/reporte de Tipo de Intervención | Baja | Pasado | Equipo QA | 2023-11-24 22:03:57 | 3 | |
| Módulo Tipo de Intervención/Modificar Tipo de intervención | CP-353: Modificación de Tipo de Intervención con datos válidos | Alta | Pasado | Equipo QA | 2023-11-24 22:06:45 | 3 | |
| Módulo Tipo de Intervención/Modificar Tipo de intervención | CP-361: Modificación del nombre de Tipo de Intervención | Alta | Pasado | Equipo QA | 2023-11-24 22:11:48 | 2 | |
| Módulo Tipo de Intervención/Baja Tipo de intervención | CP-362: Baja lógica de Tipo de Intervención con éxito | Alta | Pasado | Equipo QA | 2023-11-24 22:12:11 | 3 | |
| Módulo Tipo de Intervención/Baja Tipo de intervención | CP-363: Baja lógica de Tipo de Intervención que está en uso | Alta | Pasado | Equipo QA | 2023-11-24 22:13:34 | 2 | |
