| Suite de Pruebas | Caso de Prueba | Prioridad | Build v2.1.0 | Equipo QA | Fecha | Notas | Duración de la ejecución (min) |
| Módulo Usuario/Modificar datos propios de Usuario | CP-370: Cancelar modificación de datos de usuario | Alta | Pasado | Equipo QA | 2023-11-27 18:12:06 | 2 | |
| Módulo Usuario/Login de usuario | CP-137: Login exitoso | Alta | Pasado | Equipo QA | 2023-11-24 20:46:49 | 2 | |
| Módulo Usuario/Login de usuario | CP-138: Login Incorrecto | Alta | Pasado | Equipo QA | 2023-11-24 20:47:18 | 1 | |
| Módulo Usuario/Login de usuario | CP-142: Login de un usuario eliminado | Alta | Pasado | Equipo QA | 2023-11-24 20:48:54 | 2 | |
| Módulo Usuario/Login de usuario | CP-143: Login de un usuario sin validar | Alta | Pasado | Equipo QA | 2023-11-24 20:51:20 | 2 | |
| Módulo Intervenciones/Registro de Intervención | CP-144: Registro de una intervención por parte de un administrador | Alta | Pasado | Equipo QA | 2023-11-24 20:56:00 | 3 | |
| Módulo Intervenciones/Registro de Intervención | CP-145: Registro de una intervención por parte de un auxiliar administrativo | Alta | Pasado | Equipo QA | 2023-11-24 20:57:04 | 3 | |
| Módulo Intervenciones/Registro de Intervención | CP-146: Registro de una intervención por parte de un Ingeniero Biomédico | Alta | Pasado | Equipo QA | 2023-11-24 20:57:12 | 3 | |
| Módulo Intervenciones/Registro de Intervención | CP-147: Registro de una intervención por parte de un Tecnólogo | Alta | Pasado | Equipo QA | 2023-11-24 20:57:22 | 3 | |
| Módulo Intervenciones/Registro de Intervención | CP-148: Registro de una intervención por parte de un técnico | Alta | Pasado | Equipo QA | 2023-11-24 20:57:44 | 3 | |
| Módulo Intervenciones/Registro de Intervención | CP-149: Registro de intervención exitosa | Alta | Pasado | Equipo QA | 2023-11-24 20:57:58 | 1 | |
| Módulo Intervenciones/Registro de Intervención | CP-150: Registro con campos obligatorios vacíos | Alta | Pasado | Equipo QA | 2023-11-24 21:01:18 | 2 | |
| Módulo Intervenciones/Registro de Intervención | CP-151: Entradas inválidas para el registro de una Intervención | Alta | Pasado | Equipo QA | 2023-11-24 21:03:32 | 3 | |
| Módulo Intervenciones/Registro de Intervención | CP-160: El sistema notifica al usuario el resultado de su transacción | Alta | Pasado | Equipo QA | 2023-11-24 21:06:51 | 2 | |
| Módulo Intervenciones/Trabajar Intervención | CP-161: Usuario administrador registra el seguimiento de una intervención | Alta | Pasado | Equipo QA | 2023-11-24 21:09:05 | 2 | |
| Módulo Intervenciones/Trabajar Intervención | CP-162: Usuario auxiliar administrativo registra el seguimiento de una intervención | Alta | Pasado | Equipo QA | 2023-11-24 21:11:58 | 3 | |
| Módulo Intervenciones/Trabajar Intervención | CP-163: Usuario ingeniero biomédico registra el seguimiento de una intervención | Alta | Pasado | Equipo QA | 2023-11-24 21:12:48 | 3 | |
| Módulo Intervenciones/Trabajar Intervención | CP-164: Usuario tecnólogo registra el seguimiento de una intervención | Alta | Pasado | Equipo QA | 2023-11-24 21:18:03 | 2 | |
| Módulo Intervenciones/Trabajar Intervención | CP-165: Usuario técnico registra el seguimiento de una intervención | Alta | Pasado | Equipo QA | 2023-11-24 21:20:26 | 3 | |
| Módulo Intervenciones/Trabajar Intervención | CP-166: Registrar un seguimiento de intervención con campos obligatorios vacíos | Alta | Pasado | Equipo QA | 2023-11-24 21:22:26 | 3 | |
| Módulo Intervenciones/Trabajar Intervención | CP-167: Entradas inválidas para el registro de seguimiento de una Intervención | Alta | Pasado | Equipo QA | 2023-11-24 21:33:34 | 5 | |
| Módulo Intervenciones/Trabajar Intervención | CP-171: El sistema notifica al usuario el resultado de su transacción | Alta | Pasado | Equipo QA | 2023-11-24 21:33:47 | 2 | |
